date,国内生产总值-绝对值,国内生产总值-同比增长,第一产业-绝对值,第一产业-同比增长,第二产业-绝对值,第二产业-同比增长,第三产业-绝对值,第三产业-同比增长
2006-03-01,316345.52174194215,12.4,40014.331893583585,4.4,121719.81646209589,13.1,157093.7786296449,13.0
2006-04-01,316345.52174194215,12.633333333333333,40014.331893583585,4.533333333333333,121719.81646209589,13.466666666666667,157093.7786296449,13.133333333333333
2006-05-01,316345.52174194215,12.866666666666667,40014.331893583585,4.666666666666667,121719.81646209589,13.833333333333332,157093.7786296449,13.266666666666667
2006-06-01,316345.52174194215,13.1,40014.331893583585,4.8,121719.81646209589,14.2,157093.7786296449,13.4
2006-07-01,316345.52174194215,12.966666666666667,40014.331893583585,4.766666666666667,121719.81646209589,14.033333333333333,157093.7786296449,13.466666666666667
2006-08-01,316345.52174194215,12.833333333333332,40014.331893583585,4.733333333333333,121719.81646209589,13.866666666666665,157093.7786296449,13.533333333333333
2006-09-01,316345.52174194215,12.7,40014.331893583585,4.7,121719.81646209589,13.7,157093.7786296449,13.6
2006-10-01,316345.52174194215,12.7,40014.331893583585,4.733333333333333,121719.81646209589,13.633333333333333,157093.7786296449,13.733333333333333
2006-11-01,316345.52174194215,12.7,40014.331893583585,4.766666666666667,121719.81646209589,13.566666666666666,157093.7786296449,13.866666666666667
2006-12-01,316345.52174194215,12.7,40014.331893583585,4.8,121719.81646209589,13.5,157093.7786296449,14.0
2007-01-01,236406.53746431688,13.0,28408.692138042228,4.566666666666666,90728.80541616147,13.933333333333334,119208.75292243407,13.9
2007-02-01,156467.55318669157,13.299999999999999,16803.05238250087,4.333333333333333,59737.794370227064,14.366666666666667,81323.72721522323,13.799999999999999
2007-03-01,76528.56890906628,13.6,5197.412626959516,4.1,28746.783324292664,14.8,43438.70150801239,13.7
2007-04-01,105407.00068800805,13.833333333333334,7946.07020597954,4.033333333333333,40225.75910866274,15.066666666666666,58166.23401565826,14.033333333333333
2007-05-01,134285.43246694983,14.066666666666666,10694.727784999566,3.9666666666666663,51704.73489303282,15.333333333333334,72893.76652330413,14.366666666666665
2007-06-01,163163.8642458916,14.3,13443.38536401959,3.9,63183.7106774029,15.6,87621.29903095,14.7
2007-07-01,194125.50829188176,14.3,17609.995279360992,3.933333333333333,75228.4075858814,15.5,102534.27440482164,14.933333333333334
2007-08-01,225087.15233787193,14.3,21776.60519470239,3.966666666666667,87273.1044943599,15.4,117447.24977869327,15.166666666666666
2007-09-01,256048.7963838621,14.3,25943.21511004379,4.0,99317.8014028384,15.3,132360.2251525649,15.4
2007-10-01,291121.39286567405,14.266666666666667,31100.42124331553,3.8333333333333335,112911.70385118306,15.233333333333334,148878.34865275287,15.533333333333333
2007-11-01,326193.98934748594,14.233333333333333,36257.62737658727,3.6666666666666665,126505.60629952772,15.166666666666666,165396.4721529408,15.666666666666668
2007-12-01,361266.5858292979,14.2,41414.83350985901,3.5,140099.50874787237,15.1,181914.59565312878,15.8
2008-01-01,269313.0181870379,13.333333333333332,29389.136595868484,3.2333333333333334,104198.88076740754,14.299999999999999,137435.59406306647,14.4
2008-02-01,177359.45054477794,12.466666666666667,17363.439681877953,2.966666666666667,68298.25278694268,13.5,92956.59247300414,13.0
2008-03-01,85405.88290251797,11.6,5337.742767887423,2.7,32397.624806477834,12.7,48477.59088294183,11.6
2008-04-01,117471.0489035711,11.5,8191.982000723701,2.9333333333333336,45229.124331000574,12.533333333333333,64913.51716147462,11.6
2008-05-01,149536.21490462424,11.4,11046.22123355998,3.1666666666666665,58060.623855523314,12.366666666666665,81349.44344000742,11.6
2008-06-01,181601.38090567736,11.3,13900.460466396256,3.4,70892.12338004605,12.2,97785.36971854021,11.6
2008-07-01,215549.5931360967,11.1,18295.21250255941,3.7333333333333334,84042.10803954852,11.833333333333332,114340.01008567926,11.533333333333333
2008-08-01,249497.805366516,10.9,22689.964538722565,4.066666666666666,97192.09269905099,11.466666666666667,130894.65045281828,11.466666666666667
2008-09-01,283446.01759693533,10.7,27084.71657488572,4.4,110342.07735855346,11.1,147449.29081995733,11.4
2008-10-01,321067.1599495368,10.366666666666665,32579.279334047707,4.666666666666667,124837.8051074236,10.666666666666666,165304.7366122073,11.1
2008-11-01,358688.3023021383,10.033333333333333,38073.84209320969,4.933333333333334,139333.53285629372,10.233333333333334,183160.18240445733,10.8
2008-12-01,396309.44465473975,9.7,43568.404852371685,5.2,153829.26060516387,9.8,201015.62819670732,10.5
2009-01-01,294496.9162392529,8.6,30892.462232603502,4.733333333333333,113978.40275186044,8.466666666666667,151333.0779399761,9.4
